콘텐츠명,애완동물동반허용여부,조식제공여부,독채여부,업종,위치
제주펄관광호텔,2,1,2,1,0
그랜드메르호텔,2,1,2,1,1
끄라비펜션,2,3,2,2,1
베이힐 풀앤빌라,2,1,2,3,1
봄그리고가을호텔&리조트,2,1,2,3,1
수상한집 광보네,2,2,2,4,0
민준채,2,3,1,2,0
애월해안누리펜션(구 하얀둥지펜션),2,3,1,2,0
온평가 민박,2,3,1,2,1
제주KAL호텔,2,1,2,1,1
보물섬,2,3,2,2,1
골든파크호텔,2,1,2,1,0
그림리조트,2,2,2,3,0
제주해안휴양펜션(제주해안펜션),2,3,2,2,1
호텔빠레브,2,1,2,1,1
더포그레이스호텔앤리조트,2,1,2,1,1
제주 벨루가,2,2,1,2,1
제주통나무휴양펜션,1,3,1,2,1
호텔레오,2,1,2,1,0
제주오리엔탈호텔,2,1,2,1,0
제주디오빌,2,3,2,2,1
유심이감성하우스민박,2,1,2,4,0
르페도라,2,3,2,2,1
제주애단비,1,3,1,2,0
하루나의 뜰,1,3,1,2,0
구름밭하우스,2,3,1,2,0
호텔제이엠,2,3,2,1,0
태흥여관,2,3,2,5,0
게스트하우스7,2,3,2,4,0
캠핑트리펜션,2,3,1,2,0
느르왓,2,3,1,4,0
등대민박,2,1,2,4,0
사계절민박,2,1,2,4,0
봉골레 하우스 민박,2,1,2,4,0
유창민박,2,1,2,4,0
해녀신춘자할망 민박,2,3,2,4,1
오션스위츠호텔 제주,2,1,2,1,0
라이온힐펜션,2,3,1,2,1
허브인휴양펜션,2,3,2,2,0
다이아몬드 호텔,2,3,2,5,0
더베이리조트,2,3,1,2,1
메종글래드 제주,2,1,2,1,0
민박바당집,2,3,1,4,0
롯데호텔 제주,2,1,2,1,1
린앤솔게스트하우스,2,3,2,4,0
제주아이브리조트,2,3,2,1,1
제주카사블랑카펜션,2,3,2,2,1
라온호텔앤리조트,2,1,2,3,0
동박생이,2,3,1,2,0
성산우리집 펜션,2,1,2,2,1
제주엠리조트,2,3,2,3,1
솔민박,2,3,1,2,1
 제주치유숲 Global Ageing 치유농장,1,2,2,4,1
제주마리나관광호텔,2,1,2,1,0
민박하얀집,1,3,2,2,1
바당정원펜션,2,3,2,2,0
나날 게스트하우스,2,3,2,4,1
미도호스텔,2,3,2,4,1
비앤비호텔,2,3,2,1,0
웰컴모텔,1,1,2,5,0
제주신화월드 호텔앤리조트,2,1,2,3,1
감비나무,2,2,2,4,0
추자섬민박,2,1,2,4,0
폴에이리조트,2,2,2,3,1
뚜르드제주게스트하우스,2,2,2,4,0
태성민박,2,1,2,4,0
예스준게스트하우스,2,2,2,4,0
마눌펜션,2,3,2,2,0
신등대민박,2,1,2,4,0
해비치호텔앤드리조트,2,1,2,1,1
우리희망이 게스트하우스,2,3,2,4,0
스테이 협재10길 ,2,3,2,2,0
자장자장펜션,2,3,2,2,1
알앤비타운,2,3,2,2,1
제주해조대펜션,2,3,2,2,0
오후여섯시펜션,2,3,2,2,0
엔젤하우스,1,2,2,2,1
다인오세아노 호텔,2,1,2,1,0
제주리조트,2,3,2,3,1
성게돌 펜션 ,1,3,2,2,1
제주도연게스트하우스,2,2,2,4,0
호텔 스카브로,2,1,2,1,1
안녕김녕sea,1,2,2,2,0
러브제주게스트하우스 산방산지점,2,2,2,4,0
제주파인비치펜션,2,3,2,2,1
하이디펜션,2,3,2,2,1
라신비,2,3,2,2,0
제주동문게스트하우스,2,2,2,4,0
한화리조트 제주,2,1,2,3,0
다인리조트,2,1,2,3,0
제주영숙,2,2,2,2,1
바랑쉬게스트하우스,2,2,2,4,1
하마다 게스트하우스,2,2,2,4,1
바람이분다 게스트하우스,2,2,1,2,0
언니네여인숙,2,3,2,4,0
썬앤문리조트,2,2,2,3,1
에코힐링하우스,1,3,2,4,0
김군아미고게스트하우스,2,2,2,4,0
제주해나루,2,3,2,4,1
러블리에스메랄다,2,3,2,2,0
제주가좋아서 펜션,2,3,2,2,0
퐁낭하우스제주,1,3,1,2,0
이뻬게스트하우스,2,2,2,4,0
골든파크호텔,2,1,2,1,0
다락마마,2,3,1,4,0
뚜르드제주,2,2,2,4,0
협재해오름펜션,2,3,1,2,0
헌치 게스트하우스,2,3,2,4,0
521 게스트 하우스,2,2,2,4,0
뜨레향 펜션,2,3,2,2,1
틸다하우스,2,1,1,2,0
월정플레이스,2,3,1,2,0
코즈게스트하우스,2,1,2,4,1
슬로우리제주 민박,2,3,2,4,0
언덕위에 빨간지붕,2,3,1,2,1
경소하라하우스 제주독채펜션,2,3,1,2,0
그랜드밀리언스 호텔 인 서귀포,2,1,2,1,1
스카이 힐 비지니스호텔,2,3,2,1,1
더포그레이스 호텔앤리조트,2,1,2,3,1
호텔서귀피안,2,1,2,1,1
토토하우스,1,3,1,2,0
무뚱하우스,1,2,1,2,0
밧돌 펜션하우스,2,2,1,2,0
민박집섶낭,2,3,2,4,0
동복리671,1,2,2,2,0
마이하프타임펜션,2,3,2,2,1
월정에비뉴,2,1,1,2,0
펜션 수망가라,1,3,1,2,1
브라운 스위트 제주 호텔 & 리조트,2,1,2,1,1
그림리조트,2,2,2,3,0
한담풍경하우스,2,3,2,2,0
별장민박,2,1,2,4,1
그린민박,2,1,2,4,1
공감민박,2,3,2,4,1
켄싱턴리조트 서귀포,2,1,2,3,1
두리안펜션,2,3,2,2,1
호텔 앨리스앤트렁크,2,3,2,4,0
청정고을민박,2,1,2,4,0
황재여관,2,3,2,5,0
고려민박,1,3,2,4,0
내사랑추자야펜션민박,1,1,1,2,0
다미네민박,2,3,2,4,0
여정여관,2,3,2,4,0
나바론 민박,2,1,2,4,0
김선장네 민박,2,3,2,4,0
물돌이민박,2,1,2,4,0
밀물민박,2,1,2,4,0
이레민박,2,1,2,4,0
추사랑민박,2,1,2,4,0
대물민박,1,1,2,4,0
레몬이네 민박,2,1,2,4,0
동일민박,2,1,2,4,0
뉴아일랜드민박,2,1,2,2,0
호텔 케니,2,1,2,1,1
바다와자전거,2,2,2,4,0
제주머무리,2,3,2,2,1
씨사이드아덴,1,1,2,3,1
바람스테이,2,3,2,4,0
골드원 호텔&스위트,2,1,2,1,1
콤포스텔라 별들의들판,2,2,2,4,0
돌담한길펜션,2,3,1,2,1
여울목 펜션(강정동),2,3,2,2,1
호텔 시리우스 제주,2,1,2,1,0
밭담사이,1,3,2,4,0
레드우드하우스,2,2,2,4,0
피디스테이션,2,2,1,4,0
제주토비스콘도,2,1,2,3,0
더큐브리조트 제주,2,1,2,3,1
클럽ES리조트 제주,2,1,2,3,1
더오라,2,3,1,2,0
돌담길,2,1,1,2,0
심스호텔,2,1,2,1,0
그랜드 조선 제주,2,1,2,1,1
빌라비하우스,2,3,2,2,1
씨스테이,2,3,2,1,0
그랜드 하얏트 제주,2,1,2,1,0
청재설헌,2,3,2,4,1
제주밭담숲,2,3,1,2,0
리틀해녀 ,2,3,1,2,0
더그랜드섬오름,2,1,2,1,1
제주올레돔,2,3,1,2,1
씨오르리조트,2,1,2,3,1
파도봐펜션,1,3,2,2,1
쌩텀펜션원,2,3,2,2,0
제주 체크인,2,3,2,5,0
서귀포 더 호텔,2,3,2,5,1
서귀포 오렌지 호텔,2,3,2,5,1
제주 참피온 호텔,2,3,2,5,0
더 스테이 센추리 호텔,2,3,2,5,0
제주 휴 무인텔,2,3,2,5,0
제주 모이라 무인텔,2,3,2,5,0
서귀포 썬라이즈 호텔,2,3,2,5,1
제주 퓨어스테이 오션,2,3,2,5,0
제주 신라 호텔,2,1,2,1,1
라마다 프라자,2,1,2,1,0
리젠트 마린 더 블루,2,1,2,1,0
롯데시티호텔,2,1,2,1,0
신라스테이,2,1,2,1,0
서귀포 JS 호텔,2,1,2,1,1
